韓劇名稱,類型,演員名稱,發行年份,圖片,預告
機智的醫生生活,愛情喜劇日常,曹政奭、柳演錫、鄭敬淏、金大明、田美都,2020,https://storage.googleapis.com/www-cw-com-tw/article/202004/article-5e9962b7ccc53.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiz5tyd3Pv7AhXprlYBHX7gDokQtwJ6BAgLEAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DmEB1yNzb9mo&usg=AOvVaw3mEsdS7HKekMg_m_Zkgrkh
惡之花,犯罪愛情懸疑,李準基、文彩元、張熙軫、徐賢宇,2020,https://a.ksd-i.com/a/2020-06-03/127239-844836.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=video&cd=&ved=2ahUKEwj_psTYnvv7AhVvwosBHcpkC4AQtwJ6BAgJEAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dz7ciW-ja4K4&usg=AOvVaw3Uw_jUunzYQJXHH5m8galq
驅魔麵館,動作喜劇,趙炳圭、金世正、劉俊相、廉惠蘭,2020,https://a.ksd-i.com/a/2022-10-12/143841-955867.jpg,https://www.bilibili.com/video/BV1Po4y1o7hV/?vd_source=837557f46cc6b53387ed6c4c3eed2c81
雖然是精神病但沒關係,愛情喜劇奇幻,金秀賢、徐睿知、吳正世、朴珪瑛,2020,https://d189djjbmcrkk.cloudfront.net/tinymce/3BCtribClaC1Nu3cZbdefSEMMdsbwTWmhR8L3qsc.jpeg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiroum7n_v7AhWhHqYKHRDmD6wQtwJ6BAgNEAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DrMDl0QJNDKY&usg=AOvVaw3XguBf7T_P1fD4Whq8hxb1
夫婦的世界,狗血,金喜愛、朴海俊、韓韶禧,2020,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.elle.com%2Ftw%2Ffashion%2Fceleb-style%2Fg32063522%2Fhee-ae-kim-sexy-looks%2F&psig=AOvVaw0q6IdiRhvD9o0ACX-V0Hov&ust=1671183244539000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCNiVsO-o-_sCFQAAAAAdAAAAABAE,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiRheD1qPv7AhV3sVYBHUyfD7sQtwJ6BAg5EAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dqj9MXneGM-8&usg=AOvVaw0Ohz-sstKl8Jwkn4FynL00
哲仁皇后,喜劇古裝,申惠善、金正賢、羅人友、薛仁雅、裴宗玉、金太祐,2020,https://a.ksd-i.com/a/2020-11-18/131715-888027.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjb59yBp_v7AhVIhVYBHejlDqsQtwJ6BAgKEAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D5z5DcWky2Fs&usg=AOvVaw2IANJiLsUOJqSt7vIAd84U
屍戰朝鮮,古裝奇幻動作驚悚,朱智勛、柳承龍、裴斗娜,2020,https://www.dramaqueen.com.tw/images/video_poster/2020/20200215173957325651f27599fc9d89d80b751513155f3bb0.jpeg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwihnZD3p_v7AhUdsVYBHSOiAfwQtwJ6BAgMEAI&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DdscGjaJ46h4&usg=AOvVaw1jx1EwkNKKGEPTgUHmvNZS
Sweet Home,動作驚悚,宋江、李到晛、李陣郁、李詩英,2020,https://news.agentm.tw/wp-content/uploads/官方海報-9.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjG5sX-p_v7AhX8klYBHR3RD8sQwqsBegQIXxAF&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DLZsmvmavvBg&usg=AOvVaw3ufv5UN6nqrs3sBOYt_RH0
人性課外課,驚悚校園犯罪,金東希、 鄭多彬、朴柱炫、南潤壽,2020,https://www.themoviedb.org/t/p/original/jfLW9pz2FAcYJFzHY5PEBxc4Q7m.jpg,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FRqNAsv_24js%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DRqNAsv_24js&tbnid=nLWUY3EzhLD8VM&vet=12ahUKEwjvrfa3qPv7AhXZA6YKHbuFD70QMygGegUIARCcAQ..i&docid=wyRdxi4f2LJpTM&w=1280&h=720&q=人性課外課&hl=zh-TW&client=safari&ved=2ahUKEwjvrfa3qPv7AhXZA6YKHbuFD70QMygGegUIARCcAQ
一半的一半,愛情日常,丁海寅、蔡秀彬、李荷娜、金成圭,2020,https://a.ksd-i.com/a/2020-02-26/124589-818452.jpg,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DASgwrUhi3yw&psig=AOvVaw1SNtujPy0m5p488DbbGyEH&ust=1671183362509000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCLCTmKep-_sCFQAAAAAdAAAAABAI
